t,sx,sy,valid,aoi
3283,323.148,150.314,1,am_distractors
3300,326.619,156.04,1,am_distractors
3317,258.468,172.532,1,am_a1body
3333,279.802,124.671,1,am_bg
3350,313.239,159.181,1,am_bg
3367,,,0,invalid
3383,440.652,175.187,1,am_distractors
3400,358.506,158.003,1,am_distractors
3417,302.587,168.129,1,am_bg
3433,333.297,150.721,1,am_bg
3450,363.932,140.414,1,am_a1body
3467,394.643,172.043,1,am_activity
3483,624.367,168.892,1,am_distractors
3500,658.407,172.485,1,am_bg
3517,726.116,186.863,1,am_distractors
3533,783.0,195.054,1,am_distractors
3550,821.84,197.54,1,am_bg
3567,803.042,203.57,1,am_a1body
3583,848.296,243.287,1,am_distractors
3600,802.215,242.335,1,am_a1body
3617,788.095,245.658,1,am_bg
3633,759.154,263.02,1,am_activity
3650,764.036,281.288,1,am_activity
3667,902.051,300.904,1,am_distractors
3683,790.713,311.459,1,am_bg
3700,831.632,292.571,1,am_a1body
3717,735.472,319.563,1,am_distractors
3733,707.332,300.62,1,am_bg
3750,772.262,305.621,1,am_bg
3767,776.095,293.157,1,am_a1body
3783,711.833,292.097,1,am_distractors
3800,669.182,297.529,1,am_bg
3817,709.704,302.84,1,am_bg
3833,666.155,309.812,1,am_bg
3850,,,0,invalid
3867,681.779,343.973,1,am_a1body
3883,642.926,339.938,1,am_distractors
3900,770.762,355.87,1,am_distractors
3917,808.56,375.526,1,am_distractors
3933,687.808,355.24,1,am_distractors
3950,,,0,invalid
3967,659.466,376.699,1,am_activity
3983,710.293,371.781,1,am_activity
4000,663.038,394.515,1,am_distractors
4017,656.197,392.035,1,am_a1body
4033,686.307,394.11,1,am_activity
4050,737.929,391.25,1,am_bg
4067,666.36,391.508,1,am_activity
4083,646.415,373.392,1,am_bg
4100,618.096,349.595,1,am_distractors
4117,579.14,375.944,1,am_activity
4133,,,0,invalid
4150,708.555,345.566,1,am_a1body
4166,,,0,invalid
4183,688.102,299.422,1,am_activity
4200,814.638,277.558,1,am_activity
4216,876.2,304.692,1,am_activity
4233,785.606,321.38,1,am_distractors
4250,756.733,310.008,1,am_a1body
4266,832.274,347.229,1,am_activity
4283,790.078,363.453,1,am_a1body
4300,816.542,358.085,1,am_distractors
4316,862.73,316.783,1,am_bg
4333,807.461,354.64,1,am_activity
4350,803.912,331.678,1,am_a1body
4366,610.647,304.487,1,am_a1body
4383,549.566,321.385,1,am_distractors
4400,534.507,361.702,1,am_activity
4416,460.106,384.577,1,am_bg
4433,557.441,393.896,1,am_a1body
4450,472.167,403.724,1,am_activity
4466,445.928,417.826,1,am_bg
4483,453.724,430.368,1,am_a1body
4500,539.662,435.014,1,am_a1body
4516,454.047,436.736,1,am_bg
4533,523.402,435.702,1,am_bg
4550,524.012,423.243,1,am_distractors
4566,465.488,418.605,1,am_activity
4583,,,0,invalid
4600,504.911,389.004,1,am_activity
4616,469.122,372.667,1,am_distractors
4633,473.284,354.431,1,am_a1body
4650,450.309,357.403,1,am_bg
4666,457.078,380.406,1,am_bg
4683,,,0,invalid
4700,591.127,369.629,1,am_bg
4716,517.32,353.275,1,am_a1body
4733,644.505,368.821,1,am_bg
4750,528.11,352.586,1,am_bg
4766,519.059,348.874,1,am_distractors
4783,554.138,357.963,1,am_a1body
4800,570.893,341.962,1,am_activity
4816,533.764,343.703,1,am_distractors
4833,521.354,321.658,1,am_distractors
4850,491.958,311.721,1,am_activity
4866,456.817,317.005,1,am_distractors
4883,507.475,290.681,1,am_a1body
4900,528.763,297.96,1,am_bg
4916,487.447,297.635,1,am_a1body
4933,541.087,306.765,1,am_activity
4950,559.41,310.465,1,am_activity
4966,607.878,333.008,1,am_distractors
4983,645.42,335.077,1,am_a1body
5000,595.99,327.981,1,am_a1body
5016,562.589,330.002,1,am_activity
5033,607.147,338.98,1,am_a1body
5050,643.541,339.787,1,am_activity
5066,642.295,340.458,1,am_a1body
5083,649.291,328.858,1,am_a1body
5100,725.473,317.903,1,am_a1body
5116,690.2,294.725,1,am_activity
5133,722.822,323.637,1,am_distractors
5150,710.766,303.082,1,am_a1body
5166,697.786,291.632,1,am_activity
5183,763.302,279.76,1,am_activity
5200,812.519,294.549,1,am_a1body
5216,861.025,289.675,1,am_a1body
5233,938.866,310.294,1,am_distractors
5250,940.118,299.164,1,am_activity
5266,980.781,303.775,1,am_activity
5283,,,0,invalid
5300,,,0,invalid
5316,973.849,305.794,1,am_bg
5333,979.633,310.914,1,am_activity
5350,1015.12,321.387,1,am_distractors
5366,966.333,328.225,1,am_bg
5383,1091.094,325.163,1,am_bg
5400,1031.109,323.018,1,am_bg
5416,958.711,323.742,1,am_a1body
5433,1027.765,321.313,1,am_a1body
5450,1074.969,337.241,1,am_activity
5466,1112.183,373.769,1,am_bg
5483,1149.649,364.557,1,am_distractors
5500,1148.919,341.921,1,am_a1body
5516,1095.419,340.462,1,am_distractors
5533,1099.939,383.092,1,am_distractors
5550,,,0,invalid
5566,1117.705,396.897,1,am_a1body
5583,1108.936,424.621,1,am_a1body
5600,1059.715,415.473,1,am_a1body
5616,1040.552,424.876,1,am_a1body
5633,1065.173,451.785,1,am_bg
5650,1031.561,445.52,1,am_bg
5666,982.535,442.155,1,am_bg
5683,997.065,432.543,1,am_bg
5700,1011.671,415.774,1,am_activity
5716,981.444,405.045,1,am_bg
5733,953.358,384.82,1,am_a1body
5750,967.194,385.383,1,am_distractors
5766,880.85,372.659,1,am_bg
5783,796.928,376.522,1,am_activity
5800,754.09,350.811,1,am_a1body
5816,741.363,356.279,1,am_distractors
5833,759.901,370.053,1,am_distractors
5850,847.871,337.107,1,am_bg
5866,899.011,343.288,1,am_distractors
5883,889.474,363.575,1,am_bg
5900,888.34,343.586,1,am_bg
5916,828.563,371.225,1,am_a1body
5933,827.459,378.149,1,am_a1body
5950,810.247,366.499,1,am_activity
5966,829.49,365.578,1,am_a1body
5983,780.165,374.804,1,am_a1body
6000,811.132,376.06,1,am_bg
6016,902.524,384.963,1,am_a1body
6033,896.039,369.749,1,am_bg
6050,919.991,372.547,1,am_bg
6066,961.142,349.186,1,am_a1body
6083,937.219,347.348,1,am_activity
6100,950.58,332.411,1,am_activity
6116,951.331,320.256,1,am_distractors
6133,957.155,340.683,1,am_distractors
6150,911.064,358.716,1,am_a1body
6166,912.525,368.782,1,am_activity
6183,942.219,350.732,1,am_bg
6200,,,0,invalid
6216,1085.943,365.55,1,am_distractors
6233,1214.329,367.892,1,am_bg
6250,1168.575,406.218,1,am_distractors
6266,1220.588,412.718,1,am_a1body
6283,1231.52,415.891,1,am_activity
6300,1362.09,410.783,1,am_distractors
6316,1313.894,412.99,1,am_activity
6333,1263.825,410.471,1,am_bg
6350,1228.085,422.172,1,am_a1body
6366,1101.445,437.981,1,am_activity
6383,1070.096,424.993,1,am_a1body
6400,1024.832,402.994,1,am_activity
6416,1033.8,372.651,1,am_bg
6433,1054.177,381.046,1,am_bg
6450,1166.046,362.813,1,am_a1body
6466,1222.717,327.236,1,am_bg
6483,1188.318,333.658,1,am_distractors
6500,1134.749,374.854,1,am_activity
6516,1164.08,374.754,1,am_bg
6533,1085.36,388.61,1,am_distractors
6550,1194.563,389.962,1,am_a1body
6566,1264.888,388.328,1,am_distractors
6583,1236.913,403.516,1,am_a1body
6600,1134.765,398.719,1,am_a1body
6616,1215.492,403.138,1,am_activity
6633,1208.662,408.454,1,am_activity
6650,1282.468,397.413,1,am_distractors
6666,1187.399,413.807,1,am_activity
6683,1151.66,410.916,1,am_activity
6700,1151.973,398.427,1,am_activity
6716,1154.774,407.293,1,am_distractors
6733,1127.938,392.446,1,am_bg
6750,1165.077,392.911,1,am_activity
6766,1101.418,392.761,1,am_activity
6783,1092.929,410.705,1,am_distractors
6800,1100.102,418.549,1,am_bg
6816,1130.776,418.136,1,am_activity
6833,1173.207,431.649,1,am_a1body
6850,1106.148,454.622,1,am_distractors
6866,1014.675,463.84,1,am_activity
6883,1090.858,464.011,1,am_activity
6900,1110.673,442.333,1,am_a1body
6916,1066.043,424.732,1,am_a1body
6933,1158.533,419.689,1,am_distractors
6950,1165.43,409.616,1,am_distractors
6966,1235.747,406.527,1,am_a1body
6983,1239.773,407.463,1,am_distractors
7000,1362.648,416.216,1,am_a1body
7016,1467.312,415.051,1,am_activity
7033,1452.467,423.09,1,am_a1body
7050,1510.398,424.156,1,am_a1body
7066,1548.88,391.511,1,am_bg
7083,1630.486,375.989,1,am_a1body
7100,1572.951,373.608,1,am_a1body
7116,1613.858,353.618,1,am_bg
7133,1676.968,363.532,1,am_distractors
7150,1572.101,388.827,1,am_bg
7166,1501.548,408.967,1,am_activity
7183,1379.956,405.44,1,am_bg
7200,1363.892,430.074,1,am_activity
7216,1406.676,432.531,1,am_distractors
7233,1496.256,426.96,1,am_bg
7250,1500.674,416.824,1,am_bg
7266,1597.783,411.826,1,am_distractors
7283,1515.492,405.411,1,am_activity
7300,1413.926,408.227,1,am_bg
7316,1410.614,410.881,1,am_activity
7333,1433.514,410.931,1,am_bg
7350,1431.565,418.151,1,am_a1body
7366,1308.291,437.827,1,am_bg
7383,1302.977,453.518,1,am_distractors
7400,1225.196,428.98,1,am_distractors
7416,1265.126,386.777,1,am_activity
7433,,,0,invalid
7450,1230.944,379.629,1,am_bg
7466,1200.304,375.915,1,am_activity
7483,1137.147,356.579,1,am_activity
7500,1133.409,326.801,1,am_a1body
7516,1190.361,335.749,1,am_a1body
7533,1131.586,348.294,1,am_distractors
7550,1161.64,338.767,1,am_activity
7566,,,0,invalid
7583,1082.747,286.924,1,am_distractors
7600,1076.365,293.398,1,am_bg
7616,1014.637,268.959,1,am_activity
7633,981.625,271.989,1,am_activity
7650,910.2,271.736,1,am_bg
7666,1027.35,281.309,1,am_bg
7683,1029.452,283.285,1,am_distractors
7700,987.73,267.205,1,am_distractors
7716,1000.489,286.978,1,am_bg
7733,993.791,284.359,1,am_distractors
7750,980.616,283.907,1,am_bg
7766,,,0,invalid
7783,1062.404,261.16,1,am_activity
7800,1030.772,246.539,1,am_activity
7816,996.438,243.681,1,am_a1body
7833,980.038,271.967,1,am_activity
7850,842.783,249.296,1,am_bg
7866,,,0,invalid
7883,833.939,246.943,1,am_distractors
7900,932.022,243.484,1,am_a1body
7916,917.173,232.428,1,am_distractors
7933,951.551,249.612,1,am_bg
7950,,,0,invalid
7966,1153.692,269.779,1,am_activity
7983,1220.448,280.982,1,am_a1body
8000,1212.821,272.919,1,am_bg
8016,1155.846,308.568,1,am_a1body
8033,1060.059,298.559,1,am_a1body
8050,1072.191,310.822,1,am_activity
8066,1027.093,315.768,1,am_bg
8083,942.289,337.279,1,am_distractors
8100,903.736,363.083,1,am_a1body
8116,839.247,363.612,1,am_a1body
8133,939.845,351.161,1,am_distractors
8150,992.414,358.762,1,am_bg
8166,,,0,invalid
8183,1080.182,380.834,1,am_a1body
8200,1084.796,383.091,1,am_a1body
8216,1033.44,377.054,1,am_a1body
8233,1124.259,380.105,1,am_bg
8250,1156.392,357.844,1,am_bg
8266,1094.545,341.789,1,am_distractors
8283,,,0,invalid
8300,1030.986,350.77,1,am_bg
8316,948.535,333.47,1,am_bg
8333,1003.759,342.338,1,am_activity
8350,1117.61,361.932,1,am_distractors
8366,1034.219,373.812,1,am_a1body
8383,1067.787,390.272,1,am_bg
8400,1028.991,377.766,1,am_a1body
8416,999.946,354.271,1,am_a1body
8433,964.624,379.08,1,am_activity
8450,913.107,373.748,1,am_bg
8466,916.0,369.603,1,am_distractors
8483,866.454,391.551,1,am_bg
8500,882.58,400.743,1,am_a1body
8516,879.585,408.276,1,am_distractors
8533,865.337,444.053,1,am_bg
8550,811.222,433.419,1,am_a1body
8566,776.832,448.751,1,am_a1body
8583,821.873,449.693,1,am_activity
8600,851.741,454.132,1,am_activity
8616,,,0,invalid
8633,799.376,487.782,1,am_activity
8650,844.178,496.677,1,am_a1body
8666,744.638,514.4,1,am_bg
8683,777.036,508.369,1,am_activity
8700,737.526,494.501,1,am_bg
8716,771.549,477.236,1,am_activity
8733,,,0,invalid
8750,618.42,478.721,1,am_distractors
8766,521.376,460.49,1,am_distractors
8783,524.243,456.834,1,am_activity
8800,539.729,452.26,1,am_a1body
8816,485.808,457.34,1,am_activity
8833,,,0,invalid
8850,424.815,485.039,1,am_activity
8866,420.875,475.404,1,am_a1body
8883,348.666,472.642,1,am_distractors
8900,309.8,477.312,1,am_bg
8916,312.626,473.202,1,am_activity
8933,261.323,499.763,1,am_a1body
8950,238.393,507.876,1,am_activity
8966,,,0,invalid
8983,263.997,530.974,1,am_a1body
9000,313.826,550.366,1,am_bg
9016,246.466,553.357,1,am_bg
9033,278.056,531.927,1,am_distractors
9050,364.011,538.532,1,am_a1body
9066,216.636,527.768,1,am_a1body
9083,169.12,519.033,1,am_distractors
9100,203.529,528.723,1,am_distractors
9116,191.422,549.185,1,am_a1body
9133,213.552,549.537,1,am_distractors
9150,,,0,invalid
9166,182.702,582.769,1,am_bg
9183,173.42,586.748,1,am_activity
9200,243.05,629.74,1,am_bg
9216,258.22,639.085,1,am_distractors
9233,278.35,609.989,1,am_a1body
9250,253.792,622.438,1,am_a1body
9266,224.717,628.736,1,am_bg
9283,198.926,650.049,1,am_a1body
9300,222.445,661.173,1,am_distractors
9316,197.343,658.885,1,am_bg
9333,214.622,638.654,1,am_a1body
9350,338.37,635.2,1,am_activity
9366,390.312,621.145,1,am_activity
9383,,,0,invalid
9400,442.496,621.278,1,am_distractors
9416,418.164,648.873,1,am_a1body
9433,296.639,655.395,1,am_distractors
9450,236.53,635.633,1,am_bg
9466,124.982,642.98,1,am_activity
9483,104.022,662.755,1,am_bg
9500,105.121,652.678,1,am_a1body
9516,205.08,650.463,1,am_distractors
9533,224.574,650.706,1,am_distractors
9550,211.51,637.736,1,am_distractors
9566,260.964,648.449,1,am_bg
9583,129.122,646.45,1,am_activity
9600,143.171,653.383,1,am_bg
9616,189.135,638.717,1,am_bg
9633,100.972,631.488,1,am_a1body
9650,169.17,643.425,1,am_a1body
9666,189.353,637.264,1,am_a1body
9683,164.591,665.802,1,am_activity
9700,202.322,659.198,1,am_activity
9716,337.715,662.911,1,am_a1body
9733,348.559,678.322,1,am_a1body
9750,363.359,654.884,1,am_activity
9766,335.969,625.786,1,am_distractors
9783,,,0,invalid
9800,334.806,621.439,1,am_activity
9816,,,0,invalid
9833,288.028,654.594,1,am_activity
9850,259.547,645.27,1,am_activity
9866,288.107,648.319,1,am_a1body
9883,308.002,673.803,1,am_distractors
9900,369.867,706.953,1,am_activity
9916,339.456,741.019,1,am_a1body
9933,323.365,760.987,1,am_bg
9950,265.005,777.91,1,am_bg
9966,238.513,787.701,1,am_activity
9983,261.01,800.564,1,am_bg
10000,306.146,791.455,1,am_distractors
10016,251.161,777.935,1,am_bg
10033,303.013,777.879,1,am_bg
10050,383.844,775.067,1,am_distractors
10066,408.496,767.577,1,am_activity
10083,520.402,779.085,1,am_activity
10100,474.264,794.871,1,am_distractors
10116,400.05,796.332,1,am_distractors
10133,293.991,820.748,1,am_distractors
10150,383.195,801.882,1,am_bg
10166,422.212,798.682,1,am_distractors
10183,418.898,786.836,1,am_a1body
10200,435.591,755.992,1,am_bg
10216,368.483,754.626,1,am_activity
10233,514.314,752.614,1,am_activity
10250,522.019,777.623,1,am_activity
10266,528.542,788.048,1,am_bg
10283,571.816,771.123,1,am_a1body
10300,600.497,801.762,1,am_distractors
10316,613.847,821.939,1,am_distractors
10333,566.714,831.558,1,am_activity
10350,594.825,827.816,1,am_activity
10366,707.044,811.961,1,am_bg
10383,787.266,805.81,1,am_a1body
10400,882.262,823.802,1,am_distractors
10416,851.78,854.944,1,am_bg
10433,792.773,880.446,1,am_distractors
10450,785.273,872.368,1,am_activity
10466,788.596,853.867,1,am_distractors
10483,853.838,856.195,1,am_a1body
10500,752.923,826.971,1,am_a1body
10516,844.124,832.312,1,am_activity
10533,834.703,829.873,1,am_a1body
10550,809.25,822.171,1,am_a1body
10566,748.902,795.819,1,am_bg
10583,650.229,804.306,1,am_distractors
10600,699.311,795.503,1,am_activity
10616,703.683,776.171,1,am_activity
10633,626.767,728.707,1,am_activity
10650,549.547,728.252,1,am_activity
10666,529.525,757.538,1,am_activity
10683,629.043,784.991,1,am_a1body
10700,613.564,777.437,1,am_bg
10716,523.937,767.486,1,am_activity
10733,509.285,775.232,1,am_bg
10750,493.023,758.734,1,am_bg
10766,332.218,763.721,1,am_a1body
10783,328.98,776.38,1,am_activity
10800,315.211,796.655,1,am_a1body
10816,356.723,795.0,1,am_activity
10833,466.969,791.635,1,am_a1body
10850,534.142,777.126,1,am_bg
10866,518.109,763.462,1,am_activity
10883,452.131,759.719,1,am_distractors
10900,605.571,765.79,1,am_bg
10916,609.102,780.887,1,am_distractors
10933,609.933,767.614,1,am_bg
10950,608.494,792.281,1,am_a1body
10966,620.305,787.801,1,am_activity
10983,611.698,787.448,1,am_bg
11000,577.492,775.1,1,am_a1body
11016,544.885,735.04,1,am_activity
11033,542.932,749.648,1,am_activity
11050,510.53,761.825,1,am_bg
11066,468.025,757.176,1,am_activity
11083,474.371,758.283,1,am_bg
11100,459.168,766.809,1,am_activity
11116,548.846,740.988,1,am_distractors
11133,390.778,732.245,1,am_a1body
11150,455.861,745.37,1,am_distractors
11166,530.16,724.643,1,am_bg
11183,406.531,729.494,1,am_distractors
11200,386.098,707.077,1,am_bg
11216,363.951,714.785,1,am_activity
11233,280.026,714.196,1,am_activity
11250,233.648,687.506,1,am_bg
11266,167.428,706.753,1,am_distractors
11283,271.909,694.614,1,am_activity
11300,327.7,681.224,1,am_a1body
11316,403.519,684.539,1,am_activity
11333,446.549,703.52,1,am_a1body
11350,379.228,686.734,1,am_distractors
11366,347.953,687.753,1,am_a1body
11383,377.132,694.839,1,am_a1body
11400,,,0,invalid
11416,346.775,709.208,1,am_a1body
11433,332.445,703.143,1,am_a1body
11450,310.096,689.467,1,am_activity
11466,352.488,690.891,1,am_a1body
11483,378.978,673.174,1,am_activity
11500,357.455,624.899,1,am_a1body
11516,426.581,632.113,1,am_bg
11533,362.121,647.05,1,am_distractors
11550,398.847,608.003,1,am_a1body
11566,434.212,591.317,1,am_bg
11583,415.755,601.549,1,am_a1body
11600,435.201,635.549,1,am_a1body
11616,360.602,635.892,1,am_a1body
11633,415.698,623.862,1,am_bg
11650,404.673,620.84,1,am_distractors
11666,373.505,643.56,1,am_bg
11683,436.053,632.885,1,am_distractors
11700,394.056,619.678,1,am_a1body
11716,310.075,611.701,1,am_activity
11733,217.259,595.947,1,am_a1body
11750,253.393,597.975,1,am_distractors
11766,177.045,624.822,1,am_bg
11783,281.677,630.161,1,am_a1body
11800,157.54,625.991,1,am_bg
11816,258.693,621.169,1,am_bg
11833,271.275,595.337,1,am_bg
11850,265.508,609.931,1,am_a1body
11866,233.017,608.644,1,am_bg
11883,256.816,605.662,1,am_bg
11900,254.572,658.428,1,am_a1body
11916,320.358,663.365,1,am_bg
11933,327.169,650.941,1,am_a1body
11950,336.131,643.896,1,am_distractors
11966,314.45,662.874,1,am_distractors
11983,311.054,664.746,1,am_distractors
12000,329.407,640.978,1,am_bg
12016,227.436,656.168,1,am_activity
12033,147.049,645.127,1,am_activity
12050,,,0,invalid
12066,201.555,693.931,1,am_bg
12083,190.585,686.539,1,am_activity
12100,191.684,707.708,1,am_a1body
12116,212.409,708.829,1,am_activity
12133,180.225,722.921,1,am_bg
12150,133.818,730.931,1,am_bg
12166,145.495,716.945,1,am_a1body
12183,,,0,invalid
12200,111.501,723.331,1,am_distractors
12216,9.983,717.799,1,am_bg
12233,71.347,711.128,1,am_a1body
12250,99.527,695.345,1,am_activity
12266,114.793,702.345,1,am_activity
12283,173.387,736.428,1,am_a1body
12300,272.693,718.787,1,am_a1body
12316,333.176,719.187,1,am_bg
12333,223.412,742.524,1,am_activity
12350,147.115,741.208,1,am_a1body
12366,109.859,748.683,1,am_activity
12383,111.415,731.128,1,am_a1body
12400,142.281,738.205,1,am_activity
12416,99.008,735.113,1,am_distractors
12433,110.144,751.402,1,am_bg
12450,65.103,771.023,1,am_activity
12466,28.641,813.816,1,am_distractors
12483,-55.233,823.394,1,offscreen
12500,-110.282,828.778,1,offscreen
12516,-190.878,831.99,1,offscreen
12533,-249.066,826.154,1,offscreen
12549,-186.241,831.747,1,offscreen
12566,-242.85,826.866,1,offscreen
12583,-85.891,829.65,1,offscreen
12599,-56.476,851.423,1,offscreen
12616,-45.455,834.79,1,offscreen
12633,-96.636,853.626,1,offscreen
12649,-54.879,875.391,1,offscreen
12666,-89.202,873.44,1,offscreen
12683,-81.927,838.377,1,offscreen
12699,70.721,828.333,1,am_activity
